"hair";"feathers";"eggs";"milk";"airborne";"aquatic";"predator";"toothed";"backbone";"breathes";"venomous";"fins";"legs";"tail";"domestic";"catsize"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"false";"false";"true"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"false";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"true";"true"
"false";"false";"true";"false";"false";"true";"false";"true";"true";"false";"false";"true";0.0;"true";"true";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"false";"true";"false"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"true";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";0.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"false";"false";"false";"false";"false";4.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"false";"false";"false";"false";"false";6.0;"false";"false";"false"
"false";"true";"true";"false";"true";"false";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"true"
"false";"false";"false";"true";"false";"true";"true";"true";"true";"true";"false";"true";0.0;"true";"false";"true"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"true";"false"
"false";"true";"true";"false";"true";"true";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"true"
"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";6.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"true";"false";"false";4.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"true";"true";"false";4.0;"false";"false";"false"
"true";"false";"false";"true";"true";"false";"false";"true";"true";"true";"false";"false";2.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";2.0;"false";"true";"true"
"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";6.0;"false";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"true";"true"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";2.0;"false";"false";"true"
"false";"true";"true";"false";"true";"true";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"false";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"true";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"false"
"false";"true";"true";"false";"true";"false";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"true";"false";"true";"false";"true";"false";"false";"false";"false";"true";"true";"false";6.0;"false";"true";"false"
"true";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";6.0;"false";"false";"false"
"false";"true";"true";"false";"false";"false";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"false";"false";"true";"false";"true";"false";"true";"false";"false";"true";"false";"false";6.0;"false";"false";"false"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"false";"true";"false";"false";"true";"true";"false";"false";"false";"false";"false";6.0;"false";"false";"false"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"true";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";6.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"false";"false";"false";"false";"false";8.0;"false";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"true";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"true"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"true";"false"
"false";"true";"true";"false";"false";"true";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"true"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"true"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"false";"false";"true";"false";"false";"false";"true";"true";"true";"true";"true";"false";0.0;"true";"false";"false"
"true";"false";"true";"true";"false";"true";"true";"false";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"true";"true"
"false";"false";"false";"true";"false";"true";"true";"true";"true";"true";"false";"true";0.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"true";"true"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"true";"true"
"false";"true";"true";"false";"false";"false";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"true"
"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"true";"false";8.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"false";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"true";"false";"false";"true";"false";"true";"true";"true";"true";"true";"false";"true";0.0;"false";"false";"true"
"true";"false";"false";"true";"false";"true";"true";"true";"true";"true";"false";"true";2.0;"true";"false";"true"
"false";"false";"false";"false";"false";"true";"true";"true";"true";"false";"true";"false";0.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"false";"false";"false";"true";"false";0.0;"false";"false";"false"
"false";"true";"true";"false";"true";"true";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"false";"true";"true";"false";"true";"true";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"false";"false";"true";"false";"false";"false";"true";"true";"true";"true";"false";"false";0.0;"true";"false";"false"
"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";0.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"false";"true";"true";"false";"false";"true";0.0;"true";"false";"false"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";2.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"false";"false";"false";"false";"false";5.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"true";"true";0.0;"true";"false";"true"
"false";"true";"true";"false";"true";"true";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"true"
"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";6.0;"false";"false";"false"
"false";"false";"true";"false";"false";"true";"false";"true";"true";"true";"false";"false";4.0;"false";"false";"false"
"false";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"false";"true";"false";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"false"
"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";"true";0.0;"true";"false";"true"
"true";"false";"false";"true";"true";"false";"false";"true";"true";"true";"false";"false";2.0;"true";"false";"false"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";4.0;"true";"false";"false"
"false";"true";"true";"false";"true";"false";"true";"false";"true";"true";"false";"false";2.0;"true";"false";"true"
"true";"false";"false";"true";"false";"false";"false";"true";"true";"true";"false";"false";2.0;"true";"false";"true"
"true";"false";"true";"false";"true";"false";"false";"false";"false";"true";"true";"false";6.0;"false";"false";"false"
"true";"false";"false";"true";"false";"false";"true";"true";"true";"true";"false";"false";4.0;"true";"false";"true"
"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";0.0;"false";"false";"false"
"false";"true";"true";"false";"true";"false";"false";"false";"true";"true";"false";"false";2.0;"true";"false";"false"
